ISO3,Country,Year,Obesity_Pct
ASM,American Samoa,1980,52.256046
ASM,American Samoa,1981,53.42746
ASM,American Samoa,1982,54.613544
ASM,American Samoa,1983,55.793793
ASM,American Samoa,1984,56.96218
ASM,American Samoa,1985,58.09889
ASM,American Samoa,1986,59.19803
ASM,American Samoa,1987,60.257977
ASM,American Samoa,1988,61.269455
ASM,American Samoa,1989,62.21854
ASM,American Samoa,1990,63.111027
ASM,American Samoa,1991,63.93739
ASM,American Samoa,1992,64.687645
ASM,American Samoa,1993,65.361145
ASM,American Samoa,1994,65.963326
ASM,American Samoa,1995,66.50546
ASM,American Samoa,1996,66.99629
ASM,American Samoa,1997,67.44079
ASM,American Samoa,1998,67.84716
ASM,American Samoa,1999,68.22509
ASM,American Samoa,2000,68.578026
ASM,American Samoa,2001,68.90253
ASM,American Samoa,2002,69.21284
ASM,American Samoa,2003,69.51499
ASM,American Samoa,2004,69.81783
ASM,American Samoa,2005,70.130264
ASM,American Samoa,2006,70.449715
ASM,American Samoa,2007,70.778175
ASM,American Samoa,2008,71.11495
ASM,American Samoa,2009,71.45961
ASM,American Samoa,2010,71.79322
ASM,American Samoa,2011,72.1134
ASM,American Samoa,2012,72.42359
ASM,American Samoa,2013,72.73051
ASM,American Samoa,2014,73.03625
ASM,American Samoa,2015,73.3416
ASM,American Samoa,2016,73.64961
ASM,American Samoa,2017,73.95318
ASM,American Samoa,2018,74.24683
ASM,American Samoa,2019,74.533485
ASM,American Samoa,2020,74.81425
ASM,American Samoa,2021,75.08752
ASM,American Samoa,2022,75.35255
ASM,American Samoa,2023,75.611374
ASM,American Samoa,2024,75.86502
COK,Cook Islands,1980,39.360016
COK,Cook Islands,1981,40.2364
COK,Cook Islands,1982,41.129314
COK,Cook Islands,1983,42.033203
COK,Cook Islands,1984,42.940765
COK,Cook Islands,1985,43.848198
COK,Cook Islands,1986,44.740063
COK,Cook Islands,1987,45.610878
COK,Cook Islands,1988,46.463043
COK,Cook Islands,1989,47.28929
COK,Cook Islands,1990,48.093918
COK,Cook Islands,1991,48.86635
COK,Cook Islands,1992,49.614326
COK,Cook Islands,1993,50.333794
COK,Cook Islands,1994,51.01755
COK,Cook Islands,1995,51.679165
COK,Cook Islands,1996,52.332527
COK,Cook Islands,1997,52.965294
COK,Cook Islands,1998,53.57545
COK,Cook Islands,1999,54.190098
COK,Cook Islands,2000,54.814285
COK,Cook Islands,2001,55.452866
COK,Cook Islands,2002,56.089558
COK,Cook Islands,2003,56.731274
COK,Cook Islands,2004,57.39714
COK,Cook Islands,2005,58.074673
COK,Cook Islands,2006,58.771507
COK,Cook Islands,2007,59.4839
COK,Cook Islands,2008,60.219086
COK,Cook Islands,2009,60.97819
COK,Cook Islands,2010,61.747738
COK,Cook Islands,2011,62.51599
COK,Cook Islands,2012,63.275127
COK,Cook Islands,2013,64.03617
COK,Cook Islands,2014,64.80401
COK,Cook Islands,2015,65.5805
COK,Cook Islands,2016,66.361824
COK,Cook Islands,2017,67.133675
COK,Cook Islands,2018,67.89064
COK,Cook Islands,2019,68.63938
COK,Cook Islands,2020,69.38903
COK,Cook Islands,2021,70.14238
COK,Cook Islands,2022,70.89621
COK,Cook Islands,2023,71.637886
COK,Cook Islands,2024,72.3646
FJI,Fiji,1980,15.650226
FJI,Fiji,1981,15.921988
FJI,Fiji,1982,16.200226
FJI,Fiji,1983,16.485706
FJI,Fiji,1984,16.776806
FJI,Fiji,1985,17.069296
FJI,Fiji,1986,17.355673
FJI,Fiji,1987,17.654156
FJI,Fiji,1988,17.970194
FJI,Fiji,1989,18.2891
FJI,Fiji,1990,18.610939
FJI,Fiji,1991,18.937214
FJI,Fiji,1992,19.266443
FJI,Fiji,1993,19.601736
FJI,Fiji,1994,19.946966
FJI,Fiji,1995,20.304508
FJI,Fiji,1996,20.677135
FJI,Fiji,1997,21.06481
FJI,Fiji,1998,21.468048
FJI,Fiji,1999,21.894175
FJI,Fiji,2000,22.3441
FJI,Fiji,2001,22.819983
FJI,Fiji,2002,23.321987
FJI,Fiji,2003,23.85316
FJI,Fiji,2004,24.408543
FJI,Fiji,2005,24.985825
FJI,Fiji,2006,25.582378
FJI,Fiji,2007,26.194244
FJI,Fiji,2008,26.827648
FJI,Fiji,2009,27.479628
FJI,Fiji,2010,28.136307
FJI,Fiji,2011,28.803207
FJI,Fiji,2012,29.489374
FJI,Fiji,2013,30.193747
FJI,Fiji,2014,30.91775
FJI,Fiji,2015,31.66729
FJI,Fiji,2016,32.436615
FJI,Fiji,2017,33.2179
FJI,Fiji,2018,34.009083
FJI,Fiji,2019,34.81094
FJI,Fiji,2020,35.63176
FJI,Fiji,2021,36.46931
FJI,Fiji,2022,37.31593
FJI,Fiji,2023,38.170795
FJI,Fiji,2024,39.03767
PYF,French Polynesia,1980,27.816866
PYF,French Polynesia,1981,28.41838
PYF,French Polynesia,1982,29.038906
PYF,French Polynesia,1983,29.67016
PYF,French Polynesia,1984,30.307405
PYF,French Polynesia,1985,30.94547
PYF,French Polynesia,1986,31.581493
PYF,French Polynesia,1987,32.20751
PYF,French Polynesia,1988,32.82043
PYF,French Polynesia,1989,33.415077
PYF,French Polynesia,1990,33.984013
PYF,French Polynesia,1991,34.526176
PYF,French Polynesia,1992,35.037395
PYF,French Polynesia,1993,35.51859
PYF,French Polynesia,1994,35.97419
PYF,French Polynesia,1995,36.407097
PYF,French Polynesia,1996,36.823856
PYF,French Polynesia,1997,37.2269
PYF,French Polynesia,1998,37.619602
PYF,French Polynesia,1999,38.005688
PYF,French Polynesia,2000,38.384605
PYF,French Polynesia,2001,38.758953
PYF,French Polynesia,2002,39.128227
PYF,French Polynesia,2003,39.497326
PYF,French Polynesia,2004,39.869465
PYF,French Polynesia,2005,40.24534
PYF,French Polynesia,2006,40.63023
PYF,French Polynesia,2007,41.029922
PYF,French Polynesia,2008,41.44792
PYF,French Polynesia,2009,41.881935
PYF,French Polynesia,2010,42.32173
PYF,French Polynesia,2011,42.768303
PYF,French Polynesia,2012,43.22305
PYF,French Polynesia,2013,43.686043
PYF,French Polynesia,2014,44.15789
PYF,French Polynesia,2015,44.63999
PYF,French Polynesia,2016,45.13624
PYF,French Polynesia,2017,45.6338
PYF,French Polynesia,2018,46.1216
PYF,French Polynesia,2019,46.606697
PYF,French Polynesia,2020,47.106308
PYF,French Polynesia,2021,47.613148
PYF,French Polynesia,2022,48.12484
PYF,French Polynesia,2023,48.639442
PYF,French Polynesia,2024,49.153473
KIR,Kiribati,1980,21.546387
KIR,Kiribati,1981,22.489458
KIR,Kiribati,1982,23.462685
KIR,Kiribati,1983,24.457163
KIR,Kiribati,1984,25.465494
KIR,Kiribati,1985,26.479303
KIR,Kiribati,1986,27.492693
KIR,Kiribati,1987,28.501839
KIR,Kiribati,1988,29.495504
KIR,Kiribati,1989,30.463484
KIR,Kiribati,1990,31.399944
KIR,Kiribati,1991,32.296852
KIR,Kiribati,1992,33.147907
KIR,Kiribati,1993,33.95516
KIR,Kiribati,1994,34.72092
KIR,Kiribati,1995,35.443756
KIR,Kiribati,1996,36.129776
KIR,Kiribati,1997,36.78225
KIR,Kiribati,1998,37.40029
KIR,Kiribati,1999,37.982067
KIR,Kiribati,2000,38.529373
KIR,Kiribati,2001,39.040188
KIR,Kiribati,2002,39.51252
KIR,Kiribati,2003,39.953827
KIR,Kiribati,2004,40.36669
KIR,Kiribati,2005,40.751694
KIR,Kiribati,2006,41.119633
KIR,Kiribati,2007,41.47578
KIR,Kiribati,2008,41.81698
