ISO3,Country,Year,Dietary_Energy_kcal,Fat_g,Protein_g,Food_Imports_Export_Value_Pct
COK,Cook Islands,2001,,,,148
COK,Cook Islands,2002,,,,169
COK,Cook Islands,2003,,,,204
COK,Cook Islands,2004,,,,250
COK,Cook Islands,2005,,,,364
COK,Cook Islands,2006,,,,461
COK,Cook Islands,2007,,,,525
COK,Cook Islands,2008,,,,590
COK,Cook Islands,2009,,,,625
COK,Cook Islands,2010,,,,681
COK,Cook Islands,2011,,,,610
COK,Cook Islands,2012,,,,526
COK,Cook Islands,2013,,,,312
COK,Cook Islands,2014,,,,242
COK,Cook Islands,2015,,,,220
COK,Cook Islands,2016,,,,216
COK,Cook Islands,2017,,,,225
COK,Cook Islands,2018,,,,219
COK,Cook Islands,2019,,,,202
COK,Cook Islands,2020,,,,176
COK,Cook Islands,2021,,,,198
COK,Cook Islands,2022,,,,302
FJI,Fiji,2001,2908,95.9,74.1,20
FJI,Fiji,2002,2933,95.3,74.9,22
FJI,Fiji,2003,2922,95,75.3,23
FJI,Fiji,2004,2889,95.6,76,25
FJI,Fiji,2005,2857,96.1,76.7,27
FJI,Fiji,2006,2824,95.6,76,29
FJI,Fiji,2007,2791,94.8,75.5,32
FJI,Fiji,2008,2759,94.4,73.8,35
FJI,Fiji,2009,2726,89,71.7,34
FJI,Fiji,2010,2694,84.2,70.8,32
FJI,Fiji,2011,2736,78.5,71,28
FJI,Fiji,2012,2696,77.7,71.5,28
FJI,Fiji,2013,2699,79.1,71.7,26
FJI,Fiji,2014,2761,78.7,71.5,28
FJI,Fiji,2015,2735,78.2,71,29
FJI,Fiji,2016,2681,79.3,71.6,33
FJI,Fiji,2017,2723,82.1,75.2,35
FJI,Fiji,2018,2780,85.4,79.3,34
FJI,Fiji,2019,2823,84.4,80.5,35
FJI,Fiji,2020,2861,85.1,79.4,37
FJI,Fiji,2021,2895,85.4,80.3,43
FJI,Fiji,2022,2949,,,47
FJI,Fiji,2023,2960,,,
PYF,French Polynesia,2001,2674,117.2,95.2,74
PYF,French Polynesia,2002,2699,119,96.7,117
PYF,French Polynesia,2003,2703,121.5,98,134
PYF,French Polynesia,2004,2743,122.1,98.5,143
PYF,French Polynesia,2005,2745,122.9,98.3,142
PYF,French Polynesia,2006,2748,122.4,99.2,150
PYF,French Polynesia,2007,2769,122.6,99.3,170
PYF,French Polynesia,2008,2779,124.1,99.9,200
PYF,French Polynesia,2009,2783,122,100.9,222
PYF,French Polynesia,2010,2867,120.3,103,230
PYF,French Polynesia,2011,2864,116.9,105.3,240
PYF,French Polynesia,2012,2856,117,105.4,248
PYF,French Polynesia,2013,2860,117,105.5,256
PYF,French Polynesia,2014,2830,117.6,105.4,256
PYF,French Polynesia,2015,2826,116.6,104.6,235
PYF,French Polynesia,2016,2789,114.8,103.4,237
PYF,French Polynesia,2017,2772,113.4,103,235
PYF,French Polynesia,2018,2763,112.7,102.8,265
PYF,French Polynesia,2019,2820,114.9,103.3,298
PYF,French Polynesia,2020,2864,116.8,103.2,326
PYF,French Polynesia,2021,2889,118.9,104.2,353
PYF,French Polynesia,2022,2881,,,303
PYF,French Polynesia,2023,2973,,,
KIR,Kiribati,2001,2816,101.1,71.2,145
KIR,Kiribati,2002,2808,100,71.9,98
KIR,Kiribati,2003,2809,99.3,71.3,67
KIR,Kiribati,2004,2831,99.8,72.7,70
KIR,Kiribati,2005,2852,99.6,73.1,63
KIR,Kiribati,2006,2873,100.8,73.3,73
KIR,Kiribati,2007,2894,100.2,71.3,84
KIR,Kiribati,2008,2916,100.7,71.1,111
KIR,Kiribati,2009,2937,107.8,72.9,152
KIR,Kiribati,2010,2958,116.1,75.9,164
KIR,Kiribati,2011,3011,123.8,77.1,197
KIR,Kiribati,2012,3040,126.6,76.5,313
KIR,Kiribati,2013,3035,128.8,75.5,360
KIR,Kiribati,2014,3077,130.6,76.3,414
KIR,Kiribati,2015,3113,129.5,77.6,342
KIR,Kiribati,2016,3097,128.1,79.2,298
KIR,Kiribati,2017,3067,127,80,264
KIR,Kiribati,2018,3092,127.7,81,234
KIR,Kiribati,2019,3125,126.4,82.3,268
KIR,Kiribati,2020,3083,126.8,84.5,385
KIR,Kiribati,2021,3111,126.6,85.1,459
KIR,Kiribati,2022,3096,,,562
KIR,Kiribati,2023,3107,,,
MHL,Marshall Islands,2020,,143.7,106.4,
MHL,Marshall Islands,2021,,151.9,112.4,
FSM,Micronesia (Federated States of),2020,,115.5,76.9,
FSM,Micronesia (Federated States of),2021,,117.8,75.9,
NRU,Nauru,2001,,,,5
NRU,Nauru,2002,,,,6
NRU,Nauru,2003,,,,6
NRU,Nauru,2004,,,,4
NRU,Nauru,2005,,,,4
NRU,Nauru,2006,,,,4
NRU,Nauru,2007,,,,5
NRU,Nauru,2008,,,,5
NRU,Nauru,2009,,,,5
NRU,Nauru,2010,,,,5
NRU,Nauru,2011,,,,6
NRU,Nauru,2012,,,,10
NRU,Nauru,2013,,,,38
NRU,Nauru,2014,,,,63
NRU,Nauru,2015,,,,103
NRU,Nauru,2016,,,,85
NRU,Nauru,2017,,,,93
NRU,Nauru,2018,,,,87
NRU,Nauru,2019,,,,38
NRU,Nauru,2020,,124.5,110.8,19
NRU,Nauru,2021,,124.8,110.1,19
NRU,Nauru,2022,,,,22
NCL,New Caledonia,2001,2710,113,80.6,24
NCL,New Caledonia,2002,2704,115.3,81.9,24
NCL,New Caledonia,2003,2687,117.3,81.5,22
NCL,New Caledonia,2004,2685,116.1,81.5,20
NCL,New Caledonia,2005,2687,116,81.3,19
NCL,New Caledonia,2006,2700,114.7,82.2,16
NCL,New Caledonia,2007,2703,114.2,81.9,17
NCL,New Caledonia,2008,2696,114.8,82.9,19
NCL,New Caledonia,2009,2729,115.6,85.9,24
NCL,New Caledonia,2010,2780,116.5,90.6,23
NCL,New Caledonia,2011,2751,115.5,94,23
NCL,New Caledonia,2012,2740,114.5,94.3,26
NCL,New Caledonia,2013,2765,111.7,94.4,28
NCL,New Caledonia,2014,2775,109.1,93.4,28
NCL,New Caledonia,2015,2781,106.7,93.3,26
NCL,New Caledonia,2016,2805,106.8,93,25
NCL,New Caledonia,2017,2809,107.7,94,21
NCL,New Caledonia,2018,2826,109,96.5,20
NCL,New Caledonia,2019,2901,111.8,99.1,19
NCL,New Caledonia,2020,2913,114.9,101.8,21
NCL,New Caledonia,2021,2956,116.5,102.4,18
NCL,New Caledonia,2022,2956,,,17
