ISO3,Country,Year,Underweight_Pct,HealthyWeight_Pct,Overweight_Pct,Obesity_Pct,Class1_Obesity_Pct,Class2_Obesity_Pct,Morbid_Obesity_Pct,Diabetes_Pct,Diabetes_Treated_Pct,Hypertension_Pct,Hypertension_Diagnosed_Pct,Hypertension_Treated_Pct,Hypertension_Controlled_Pct,Untreated_Stage2_Pct,Dietary_Energy_kcal,Fat_g,Protein_g,Food_Imports_Export_Value_Pct,Population,Population_Thousands,Population_Density,Median_Age,Population_Growth_Rate
ASM,American Samoa,1980,0.74689572697276,15.31639638980363,28.33074233819351,54.13961100103519,28.99912174165657,16.01919305560299,9.1212962037756,,,,,,,,,,,,32403.0,32.403,162.013,17.832,3.275
ASM,American Samoa,1981,0.71582528891362,14.656437497783989,27.92424814172825,55.3142241674609,29.20900378568812,16.53499011112688,9.57023027064589,,,,,,,,,,,,33584.0,33.584,167.923,18.047,3.88
ASM,American Samoa,1982,0.68594307101789,14.00557753815217,27.49678683972286,56.49615896140501,29.398000291112282,17.060236643862257,10.03792202643044,,,,,,,,,,,,34909.0,34.909,174.545,18.234,3.856
ASM,American Samoa,1983,0.65735923819133,13.37132797074379,27.05424289970686,57.6718572547286,29.562999162277848,17.58922752307263,10.51963056937811,,,,,,,,,,,,36271.0,36.271,181.355,18.422,3.8
ASM,American Samoa,1984,0.6299675979428799,12.76002982411292,26.599568972939718,58.83206496615212,29.702320768711672,18.11706264616399,11.01268155127644,,,,,,,,,,,,37667.0,37.667,188.335,18.613,3.754
ASM,American Samoa,1985,0.60370657183029,12.17650903717765,26.13932975913682,59.96529897820475,29.8142474877945,18.63627634304257,11.51477514736767,,,,,,,,,,,,39103.0,39.103,195.518,18.811,3.732
ASM,American Samoa,1986,0.57853553776557,11.626022550303961,25.677377505517967,61.06220981958486,29.89797973453323,19.14132321712049,12.02290686793111,,,,,,,,,,,,40571.0,40.571,202.855,19.02,3.638
ASM,American Samoa,1987,0.55455451346579,11.11391562781494,25.219495480099567,62.11162109738453,29.9544332513261,19.62420706500087,12.53298078105754,,,,,,,,,,,,42072.0,42.072,210.36,19.238,3.628
ASM,American Samoa,1988,0.53183346775988,10.64182324901793,24.77016992822001,63.10715322687479,29.985075480735006,20.081493834664272,13.040583911475482,,,,,,,,,,,,43615.0,43.615,218.075,19.46,3.577
ASM,American Samoa,1989,0.51038384202589,10.21255024880008,24.33421377191584,64.04136623316276,29.989256027833527,20.50629786652841,13.5458123388008,,,,,,,,,,,,45191.0,45.191,225.955,19.679,3.523
