ISO3,Country,Year,Population,Population_Thousands,Population_Density,Median_Age,Population_Growth_Rate
FJI,Fiji,1950,309514.0,309.514,16.941,16.775,2.031
FJI,Fiji,1951,316123.0,316.123,17.303,16.586,2.194
FJI,Fiji,1952,323365.0,323.365,17.699,16.413,2.334
FJI,Fiji,1953,331215.0,331.215,18.129,16.258,2.462
FJI,Fiji,1954,339745.0,339.745,18.596,16.122,2.621
FJI,Fiji,1955,349070.0,349.07,19.106,16.004,2.792
FJI,Fiji,1956,359210.0,359.21,19.661,15.9,2.933
FJI,Fiji,1957,369913.0,369.913,20.247,15.812,2.94
FJI,Fiji,1958,381072.0,381.072,20.858,15.741,3.003
FJI,Fiji,1959,392760.0,392.76,21.498,15.676,3.038
FJI,Fiji,1960,404887.0,404.887,22.161,15.611,3.044
FJI,Fiji,1961,417406.0,417.406,22.846,15.556,3.045
FJI,Fiji,1962,430536.0,430.536,23.565,15.522,3.148
FJI,Fiji,1963,444276.0,444.276,24.317,15.516,3.135
FJI,Fiji,1964,458324.0,458.324,25.086,15.541,3.091
FJI,Fiji,1965,472575.0,472.575,25.866,15.592,3.034
FJI,Fiji,1966,486487.0,486.487,26.628,15.664,2.773
FJI,Fiji,1967,498873.0,498.873,27.306,15.74,2.262
FJI,Fiji,1968,510002.0,510.002,27.915,15.826,2.152
FJI,Fiji,1969,520797.0,520.797,28.506,15.943,2.038
FJI,Fiji,1970,531188.0,531.188,29.074,16.086,1.914
FJI,Fiji,1971,541121.0,541.121,29.618,16.259,1.793
FJI,Fiji,1972,550499.0,550.499,30.131,16.463,1.645
FJI,Fiji,1973,559222.0,559.222,30.609,16.693,1.501
FJI,Fiji,1974,567489.0,567.489,31.061,16.943,1.435
FJI,Fiji,1975,575906.0,575.906,31.522,17.198,1.51
FJI,Fiji,1976,585534.0,585.534,32.049,17.445,1.804
FJI,Fiji,1977,597805.0,597.805,32.721,17.672,2.339
FJI,Fiji,1978,612091.0,612.091,33.503,17.882,2.384
FJI,Fiji,1979,626862.0,626.862,34.311,18.082,2.385
FJI,Fiji,1980,641975.0,641.975,35.138,18.269,2.379
FJI,Fiji,1981,657471.0,657.471,35.986,18.451,2.391
FJI,Fiji,1982,673414.0,673.414,36.859,18.631,2.4
FJI,Fiji,1983,689835.0,689.835,37.758,18.809,2.418
FJI,Fiji,1984,706716.0,706.716,38.682,18.978,2.417
FJI,Fiji,1985,723761.0,723.761,39.615,19.143,2.35
FJI,Fiji,1986,739306.0,739.306,40.466,19.314,1.905
FJI,Fiji,1987,750540.0,750.54,41.08,19.472,1.118
FJI,Fiji,1988,758697.0,758.697,41.527,19.615,1.045
FJI,Fiji,1989,766321.0,766.321,41.944,19.752,0.955
FJI,Fiji,1990,773316.0,773.316,42.327,19.88,0.862
FJI,Fiji,1991,779656.0,779.656,42.674,19.997,0.771
FJI,Fiji,1992,785346.0,785.346,42.986,20.108,0.684
FJI,Fiji,1993,790369.0,790.369,43.26,20.211,0.592
FJI,Fiji,1994,794771.0,794.771,43.501,20.307,0.519
FJI,Fiji,1995,798746.0,798.746,43.719,20.4,0.479
FJI,Fiji,1996,803789.0,803.789,43.995,20.51,0.779
FJI,Fiji,1997,812139.0,812.139,44.452,20.679,1.285
FJI,Fiji,1998,822258.0,822.258,45.006,20.911,1.192
FJI,Fiji,1999,831828.0,831.828,45.53,21.17,1.123
FJI,Fiji,2000,840909.0,840.909,46.027,21.442,1.049
FJI,Fiji,2001,849596.0,849.596,46.502,21.722,1.006
FJI,Fiji,2002,858049.0,858.049,46.965,22.002,0.974
FJI,Fiji,2003,866286.0,866.286,47.416,22.281,0.937
FJI,Fiji,2004,874366.0,874.366,47.858,22.569,0.92
FJI,Fiji,2005,882379.0,882.379,48.297,22.862,0.905
FJI,Fiji,2006,890365.0,890.365,48.734,23.158,0.898
FJI,Fiji,2007,897832.0,897.832,49.142,23.463,0.773
FJI,Fiji,2008,903399.0,903.399,49.447,23.756,0.464
FJI,Fiji,2009,907239.0,907.239,49.657,24.036,0.384
FJI,Fiji,2010,910419.0,910.419,49.831,24.315,0.315
FJI,Fiji,2011,912989.0,912.989,49.972,24.592,0.248
FJI,Fiji,2012,914918.0,914.918,50.078,24.852,0.174
FJI,Fiji,2013,916352.0,916.352,50.156,25.105,0.139
FJI,Fiji,2014,917585.0,917.585,50.224,25.363,0.13
FJI,Fiji,2015,918578.0,918.578,50.278,25.62,0.087
FJI,Fiji,2016,919166.0,919.166,50.31,25.883,0.041
FJI,Fiji,2017,918759.0,918.759,50.288,26.166,-0.13
FJI,Fiji,2018,917180.0,917.18,50.201,26.468,-0.214
FJI,Fiji,2019,914899.0,914.899,50.077,26.776,-0.284
FJI,Fiji,2020,914963.0,914.963,50.08,27.059,0.298
FJI,Fiji,2021,916711.0,916.711,50.176,27.283,0.084
FJI,Fiji,2022,919422.0,919.422,50.324,27.475,0.506
FJI,Fiji,2023,924145.0,924.145,50.583,27.666,0.519
SLB,Solomon Islands,1950,108634.0,108.634,3.773,16.642,2.036
SLB,Solomon Islands,1951,110957.0,110.957,3.853,16.542,2.195
SLB,Solomon Islands,1952,113488.0,113.488,3.941,16.438,2.314
SLB,Solomon Islands,1953,116210.0,116.21,4.036,16.337,2.426
SLB,Solomon Islands,1954,119112.0,119.112,4.136,16.235,2.505
SLB,Solomon Islands,1955,122190.0,122.19,4.243,16.133,2.598
SLB,Solomon Islands,1956,125345.0,125.345,4.353,16.036,2.502
SLB,Solomon Islands,1957,128678.0,128.678,4.469,15.933,2.743
SLB,Solomon Islands,1958,132304.0,132.304,4.595,15.823,2.815
SLB,Solomon Islands,1959,136125.0,136.125,4.727,15.72,2.879
SLB,Solomon Islands,1960,139688.0,139.688,4.851,15.697,2.295
SLB,Solomon Islands,1961,142912.0,142.912,4.963,15.75,2.269
SLB,Solomon Islands,1962,146201.0,146.201,5.077,15.801,2.282
SLB,Solomon Islands,1963,149589.0,149.589,5.195,15.838,2.3
SLB,Solomon Islands,1964,153085.0,153.085,5.316,15.863,2.32
SLB,Solomon Islands,1965,156686.0,156.686,5.441,15.881,2.33
SLB,Solomon Islands,1966,160393.0,160.393,5.57,15.881,2.346
SLB,Solomon Islands,1967,164245.0,164.245,5.704,15.825,2.399
SLB,Solomon Islands,1968,168282.0,168.282,5.844,15.727,2.457
SLB,Solomon Islands,1969,172476.0,172.476,5.99,15.63,2.467
SLB,Solomon Islands,1970,176579.0,176.579,6.132,15.557,2.237
SLB,Solomon Islands,1971,180637.0,180.637,6.273,15.502,2.306
SLB,Solomon Islands,1972,184994.0,184.994,6.424,15.431,2.46
SLB,Solomon Islands,1973,189774.0,189.774,6.59,15.326,2.64
SLB,Solomon Islands,1974,195041.0,195.041,6.773,15.175,2.832
SLB,Solomon Islands,1975,200744.0,200.744,6.971,14.979,2.932
SLB,Solomon Islands,1976,207194.0,207.194,7.195,14.844,3.385
SLB,Solomon Islands,1977,214418.0,214.418,7.446,14.798,3.469
SLB,Solomon Islands,1978,222029.0,222.029,7.71,14.77,3.506
SLB,Solomon Islands,1979,229953.0,229.953,7.986,14.759,3.507
SLB,Solomon Islands,1980,238135.0,238.135,8.27,14.768,3.486
SLB,Solomon Islands,1981,246555.0,246.555,8.562,14.797,3.464
SLB,Solomon Islands,1982,255200.0,255.2,8.862,14.844,3.428
SLB,Solomon Islands,1983,264068.0,264.068,9.17,14.907,3.404
SLB,Solomon Islands,1984,273163.0,273.163,9.486,14.98,3.368
SLB,Solomon Islands,1985,282455.0,282.455,9.809,15.063,3.324
SLB,Solomon Islands,1986,291842.0,291.842,10.135,15.163,3.216
SLB,Solomon Islands,1987,301414.0,301.414,10.467,15.263,3.238
SLB,Solomon Islands,1988,311265.0,311.265,10.809,15.373,3.195
SLB,Solomon Islands,1989,321282.0,321.282,11.157,15.515,3.141
SLB,Solomon Islands,1990,331435.0,331.435,11.51,15.675,3.083
SLB,Solomon Islands,1991,341738.0,341.738,11.868,15.844,3.041
SLB,Solomon Islands,1992,352205.0,352.205,12.231,16.011,2.993
SLB,Solomon Islands,1993,362839.0,362.839,12.6,16.171,2.956
SLB,Solomon Islands,1994,373675.0,373.675,12.977,16.321,2.93
SLB,Solomon Islands,1995,384733.0,384.733,13.361,16.461,2.903
SLB,Solomon Islands,1996,396009.0,396.009,13.752,16.595,2.875
SLB,Solomon Islands,1997,407474.0,407.474,14.15,16.727,2.834
SLB,Solomon Islands,1998,419071.0,419.071,14.553,16.864,2.779
SLB,Solomon Islands,1999,430500.0,430.5,14.95,17.014,2.605
SLB,Solomon Islands,2000,440469.0,440.469,15.296,17.186,1.98
SLB,Solomon Islands,2001,449125.0,449.125,15.597,17.371,1.913
SLB,Solomon Islands,2002,457671.0,457.671,15.894,17.557,1.858
SLB,Solomon Islands,2003,466154.0,466.154,16.188,17.738,1.816
SLB,Solomon Islands,2004,474611.0,474.611,16.482,17.91,1.781
SLB,Solomon Islands,2005,483080.0,483.08,16.776,18.069,1.757
SLB,Solomon Islands,2006,491594.0,491.594,17.072,18.207,1.737
SLB,Solomon Islands,2007,500156.0,500.156,17.369,18.321,1.717
SLB,Solomon Islands,2008,508790.0,508.79,17.669,18.408,1.707
SLB,Solomon Islands,2009,518140.99999999994,518.141,17.994,18.467,1.934
SLB,Solomon Islands,2010,532968.0,532.968,18.508,18.519,3.685
SLB,Solomon Islands,2011,552945.0,552.945,19.202,18.577,3.675
SLB,Solomon Islands,2012,573606.0,573.606,19.92,18.64,3.662
SLB,Solomon Islands,2013,594945.0,594.945,20.661,18.708,3.643
SLB,Solomon Islands,2014,616908.0,616.908,21.423,18.788,3.608
SLB,Solomon Islands,2015,639415.0,639.415,22.205,18.886,3.56
SLB,Solomon Islands,2016,662379.0,662.379,23.002,19.006,3.498
SLB,Solomon Islands,2017,685672.0,685.672,23.811,19.153,3.416
SLB,Solomon Islands,2018,709101.0,709.101,24.625,19.328,3.306
